load pre-trained model "./pretrained_models/EVSNN.pth"
Will use fixed duration event windows of size 44.00 ms
Output frame rate: 22.7 Hz
Reading event window from file: 0.0050s
Processing: 2105.Reading event window from file: 0.2535s
Processing: 2110.Reading event window from file: 0.2924s
Processing: 2115.Reading event window from file: 0.2679s
Processing: 2120.Reading event window from file: 0.2507s
Processing: 2125.Reading event window from file: 0.3050s
Processing: 2130.Reading event window from file: 0.2896s
Processing: 2135.Reading event window from file: 0.2761s
Processing: 2140.Reading event window from file: 0.1748s
Processing: 2145.Reading event window from file: 0.1774s
Processing: 2150.Reading event window from file: 0.1396s
Processing: 2155.Reading event window from file: 0.1044s
Processing: 2160.Reading event window from file: 0.0757s
Processing: 2165.Reading event window from file: 0.0789s
Processing: 2170.Reading event window from file: 0.0304s
Processing: 2175.Reading event window from file: 0.0444s
Processing: 2180.Reading event window from file: 0.0715s
Processing: 2185.Reading event window from file: 0.0853s
Processing: 2190.Reading event window from file: 0.1266s
Processing: 2195.Reading event window from file: 0.1198s
Processing: 2200.Reading event window from file: 0.0618s
Processing: 2205.Reading event window from file: 0.1049s
Processing: 2210.Reading event window from file: 0.0637s
Processing: 2215.Reading event window from file: 0.0770s
Processing: 2220.Reading event window from file: 0.0274s
Processing: 2225.Reading event window from file: 0.0283s
Processing: 2230.Reading event window from file: 0.0162s
Processing: 2235.Reading event window from file: 0.0465s
Processing: 2240.Reading event window from file: 0.0608s
Processing: 2245.Reading event window from file: 0.0340s
Processing: 2250.Reading event window from file: 0.0446s
Processing: 2255.Reading event window from file: 0.0918s
Processing: 2260.Reading event window from file: 0.0609s
Processing: 2265.Reading event window from file: 0.0902s
Processing: 2270.Reading event window from file: 0.0719s
Processing: 2275.Reading event window from file: 0.0581s
Processing: 2280.Reading event window from file: 0.0610s
Processing: 2285.Reading event window from file: 0.0148s
Processing: 2290.Reading event window from file: 0.0417s
Processing: 2295.Reading event window from file: 0.0468s
Processing: 2300.Reading event window from file: 0.0751s
Processing: 2305.Reading event window from file: 0.0468s
Processing: 2310.Reading event window from file: 0.0750s
Processing: 2315.Reading event window from file: 0.0701s
Processing: 2320.Reading event window from file: 0.1050s
Processing: 2325.Reading event window from file: 0.1008s
Processing: 2330.Reading event window from file: 0.0969s
Processing: 2335.Reading event window from file: 0.0377s
Processing: 2340.Reading event window from file: 0.1292s
Processing: 2345.Reading event window from file: 0.1277s
Processing: 2350.Reading event window from file: 0.1408s
Processing: 2355.Reading event window from file: 0.1538s
Processing: 2360.Reading event window from file: 0.0616s
Processing: 2365.Reading event window from file: 0.0645s
Processing: 2370.Reading event window from file: 0.0756s
Processing: 2375.Reading event window from file: 0.0388s
Processing: 2380.Reading event window from file: 0.0690s
Processing: 2385.Reading event window from file: 0.0776s
Processing: 2390.Reading event window from file: 0.1220s
Processing: 2395.Reading event window from file: 0.1332s
Processing: 2400.Reading event window from file: 0.1504s
Processing: 2405.Reading event window from file: 0.1599s
Processing: 2410.Reading event window from file: 0.0813s
Processing: 2415.Reading event window from file: 0.0615s
Processing: 2420.Reading event window from file: 0.0442s
